EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,LiveBallTurnoverPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3FGA,BadPassSteals,DefensiveGoaltends,OffShortMidRangeReboundPct,Corner3Frequency,LongMidRangeFGM,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,LongMidRangeAssists,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceFg3Pct,AtRimPctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,BlockedAtRim,NonShootingPenaltyNonTakeFouls,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,LostBallTurnovers,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Travels,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,Transition Take Fouls,3pt And 1 Free Throw Trips,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedCorner3,HeaveAttempts,Transition Take Fouls Drawn,3SecondViolations,team_id,year,season,team_vs
1626172-1627741-1627780-1629001-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, De'Anthony Melton, Brandin Podziemski","Looney, Hield, Payton II, Melton, Podziemski",1626172-1627741-1627780-1629001-1641764,GSW,509.0,3,8.0,3.0,16.0,18.0,11.0,4.0,3.0,34.0,2.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,7.0,2.0,6.0,5.0,10.0,2.0,7.0,3.0,19.0,16.0,1.0,3.0,2.0,4.0,2.0,6.0,2.0,6.0,3.0,13.0,2.0,8.0,3.0,3.0,2.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,5.0,4.0,1.0,10.0,4.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,15.0,13.0,11.0,1.0,0.2,0.25,0.5,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.5,0.3333333333333333,0.3333333333333333,0.47058823529411764,0.3333333333333333,0.4166666666666667,0.5,0.5,0.4642857142857143,0.4117647058823529,1.0,0.8,0.4,1.0,0.4,0.9,0.4,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,1.0,0.2,96.18860510805501,12.375,17.27777777777778,11.875,17.27777777777778,0.29411764705882354,0.4,0.4,0.5,0.23529411764705882,0.75,0.75,0.058823529411764705,0.4117647058823529,0.2857142857142857,0.2857142857142857,0.5,0.6666666666666666,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.7058823529411765,0.2857142857142857,0.5380352941176471,0.6453,0.5334875,0.05555555555555555,0.09090909090909091,0.21052631578947367,0.6842105263157895,5.18,25.900000000000002,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630228-1630311,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Pat Spencer","Looney, Hield, Payton II, Kuminga, Spencer",1626172-1627741-1627780-1630228-1630311,GSW,76.0,1,1.0,-2.0,2.0,3.0,,,,5.0,1.0,1.0,,,,,,1.0,,,,,,1.0,2.0,,,1.0,3.0,5.0,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,2.0,1.0,,,3.0,,,,1.0,1.0,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,94.73684210526316,19.5,12.333333333333334,19.5,12.333333333333334,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,0.5,,0.44495,,,0.3333333333333333,0.3333333333333333,,,7.35,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630228-1630322,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Lindy Waters III","Looney, Hield, Payton II, Kuminga, Waters III",1626172-1627741-1627780-1630228-1630322,GSW,199.0,1,3.0,-4.0,6.0,7.0,,,,13.0,1.0,1.0,,,,,1.0,1.0,,,2.0,,,2.0,2.0,,2.0,,4.0,8.0,,,,,,,,,,,4.0,,,,,2.0,,2.0,,2.0,,1.0,4.0,,,1.0,2.0,,3.0,,3.0,,,,,1.0,2.0,,1.0,2.0,,,,,,,4.0,,,,1.0,1.0,,,,,1.0,,,0.5,,,0.5,,,0.5,,0.6666666666666666,,1.0,,0.75,,,,,0.6666666666666666,,1.0,,,94.07035175879396,17.166666666666668,13.714285714285714,17.166666666666668,13.714285714285714,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,0.5,,,,,,,,,,0.75,,0.5019125,,,,,,,8.7,27.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630228-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Brandin Podziemski","Looney, Hield, Payton II, Kuminga, Podziemski",1626172-1627741-1627780-1630228-1641764,GSW,590.0,3,10.0,2.0,21.0,20.0,2.0,5.0,2.0,41.0,4.0,4.0,2.0,2.0,,,4.0,6.0,4.0,1.0,6.0,,,8.0,14.0,1.0,7.0,1.0,20.0,18.0,2.0,2.0,,4.0,1.0,2.0,,,,2.0,6.0,10.0,3.0,,2.0,6.0,1.0,3.0,1.0,4.0,1.0,2.0,9.0,1.0,1.0,4.0,5.0,,9.0,2.0,11.0,,2.0,1.0,,,1.0,,,1.0,2.0,,2.0,1.0,,,16.0,2.0,2.0,,0.375,0.42857142857142855,1.0,0.14285714285714285,,0.14285714285714285,0.5714285714285714,1.0,0.5,0.4523809523809524,1.0,0.5,0.45454545454545453,1.0,0.5,0.3333333333333333,,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,,0.2,1.0,1.0,1.0,1.0,,,100.06779661016948,14.571428571428571,14.2,14.333333333333334,13.65,0.19047619047619047,1.0,1.0,0.5,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.19047619047619047,0.2857142857142857,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,,,,,0.5238095238095238,0.16666666666666666,0.4984261904761905,0.5978,0.42455,0.045454545454545456,0.06666666666666667,0.2,0.1,8.514285714285714,25.52857142857143,0.09523809523809523,,,,1.0,1.0,1.0,,,,,,1.0,,0.25,1.0,1.0,1.0,0.5,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630228-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Stephen Curry","Looney, Hield, Payton II, Kuminga, Curry",1626172-1627741-1627780-1630228-201939,GSW,1782.0,11,30.0,12.0,66.0,62.0,7.0,27.0,9.0,128.0,8.0,14.0,2.0,6.0,1.0,1.0,7.0,16.0,6.0,9.0,22.0,2.0,3.0,19.0,36.0,12.0,29.0,8.0,82.0,70.0,2.0,9.0,1.0,8.0,2.0,2.0,2.0,3.0,3.0,13.0,24.0,14.0,27.0,9.0,2.0,22.0,9.0,12.0,9.0,21.0,6.0,6.0,51.0,5.0,6.0,15.0,2.0,,17.0,11.0,28.0,2.0,9.0,5.0,2.0,2.0,4.0,,10.0,14.0,13.0,,15.0,8.0,,,74.0,13.0,7.0,,0.631578947368421,0.6666666666666666,0.75,0.41379310344827586,0.6666666666666666,0.41379310344827586,0.5277777777777778,0.2222222222222222,1.0,0.5692307692307692,0.35,1.0,0.5694444444444444,0.36363636363636365,0.9285714285714286,0.4461538461538462,,0.25,0.35294117647058826,0.6818181818181818,0.29411764705882354,0.5666666666666667,0.3235294117647059,0.3333333333333333,0.3076923076923077,,0.25,0.5,0.5882352941176471,1.0,0.0625,103.43434343434343,13.590909090909092,14.274193548387096,12.969696969696969,12.951612903225806,0.2153846153846154,0.5714285714285714,0.6153846153846154,0.75,0.24615384615384617,0.4375,0.4666666666666667,0.09230769230769231,0.3384615384615385,0.4090909090909091,0.4090909090909091,0.6666666666666666,0.6,0.3333333333333333,0.2,1.0,0.6,0.6666666666666666,0.6615384615384615,0.4090909090909091,0.5259023076923077,0.4976,0.54649,0.1111111111111111,0.18604651162790697,0.0975609756097561,0.15853658536585366,7.111111111111111,25.56551724137931,0.10606060606060606,2.0,0.05555555555555555,0.0625,4.0,2.0,2.0,,2.0,2.0,3.0,1.0,0.5,0.3333333333333333,0.5714285714285714,7.0,4.0,,0.3333333333333333,0.1076923076923077,4.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.5,0.25,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.42857142857142855,1.0,0.1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630228-203471,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Dennis Schröder","Looney, Hield, Payton II, Kuminga, Schröder",1626172-1627741-1627780-1630228-203471,GSW,125.0,1,2.0,-3.0,5.0,4.0,,,,9.0,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,2.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,0.3333333333333333,,,0.5,1.0,1.0,,,,0.3333333333333333,,,,1.0,,,,,,103.67999999999999,12.6,15.5,12.6,13.5,,,,,0.5,,,,0.5,,,,,,,,,,0.5,,0.419425,,,0.3333333333333333,0.5,,,8.5,28.6,,,,,,1.0,1.0,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630541-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Moses Moody, Brandin Podziemski","Looney, Hield, Payton II, Moody, Podziemski",1626172-1627741-1627780-1630541-1641764,GSW,173.0,1,3.0,-2.0,7.0,6.0,7.0,,2.0,13.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,2.0,1.0,3.0,,3.0,2.0,4.0,6.0,,,,,1.0,3.0,,3.0,2.0,4.0,,2.0,,,,2.0,,,,,,,,1.0,,,,,,1.0,1.0,,3.0,3.0,,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,,,4.0,4.0,7.0,,,,,,,,0.3333333333333333,,0.3333333333333333,0.16666666666666666,,0.16666666666666666,0.2857142857142857,,0.2857142857142857,0.5,,,,,0.3333333333333333,,0.25,,0.5,,,,,,,108.20809248554913,15.142857142857142,11.166666666666666,12.714285714285714,11.166666666666666,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,0.16666666666666666,0.3333333333333333,,,,,,0.16666666666666666,1.0,0.3333333333333333,,0.6666666666666666,,0.4764,0.5514,0.4764,0.14285714285714285,0.25,,1.0,10.233333333333333,25.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,0.16666666666666666,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,0.5,,,1.0,1.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1630541-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Moses Moody, Stephen Curry","Looney, Hield, Payton II, Moody, Curry",1626172-1627741-1627780-1630541-201939,GSW,164.0,2,3.0,2.0,5.0,6.0,,4.0,1.0,11.0,4.0,6.0,,1.0,,,,,,,,,,4.0,6.0,,,1.0,9.0,7.0,,1.0,,,,,,,,,6.0,2.0,,,,,,3.0,,3.0,,3.0,6.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,1.0,,,,,,,,2.0,,3.0,1.0,1.0,,9.0,,,1.0,0.75,0.75,,,,,0.6666666666666666,,,0.6666666666666666,,,0.6428571428571429,,,,,1.0,0.5,1.0,,1.0,0.5,0.5,,,,1.0,1.0,,,96.58536585365853,15.0,14.833333333333334,14.6,13.333333333333334,1.0,0.6666666666666666,0.8,0.75,,,,,,,,,1.0,,,,,,1.0,,0.7684666666666667,0.3996,,0.16666666666666666,0.16666666666666666,,,1.1666666666666667,,,1.0,0.16666666666666666,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1641764-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Brandin Podziemski, Stephen Curry","Looney, Hield, Payton II, Podziemski, Curry",1626172-1627741-1627780-1641764-201939,GSW,535.0,3,9.0,18.0,21.0,19.0,15.0,7.0,2.0,40.0,6.0,7.0,1.0,1.0,6.0,7.0,,2.0,1.0,4.0,5.0,2.0,3.0,7.0,10.0,4.0,9.0,5.0,31.0,13.0,1.0,1.0,,5.0,7.0,9.0,2.0,6.0,4.0,24.0,10.0,4.0,9.0,3.0,2.0,5.0,4.0,5.0,3.0,8.0,3.0,4.0,19.0,2.0,1.0,4.0,2.0,,6.0,3.0,9.0,,5.0,3.0,,,2.0,,,2.0,4.0,,6.0,2.0,1.0,,26.0,24.0,15.0,1.0,0.7142857142857143,0.8333333333333334,0.75,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.7,1.0,0.7777777777777778,0.6842105263157895,0.8333333333333334,0.6666666666666666,0.7045454545454546,0.8333333333333334,0.7058823529411765,0.47368421052631576,,0.6666666666666666,0.3333333333333333,0.8,0.4,0.75,0.375,,,,1.0,1.0,0.6666666666666666,1.0,,107.66355140186917,12.80952380952381,14.0,12.238095238095237,13.947368421052632,0.3684210526315789,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.10526315789473684,,,0.05263157894736842,0.2631578947368421,0.8,0.8,0.75,0.3333333333333333,1.0,0.4666666666666667,0.8571428571428571,0.2,0.6666666666666666,0.8421052631578947,0.8,0.5882184210526316,0.54795,0.60634,0.09523809523809523,0.16666666666666666,0.16129032258064516,0.7741935483870968,3.81,25.22222222222222,0.7142857142857143,,,,,2.0,2.0,,1.0,,1.0,,1.0,,,4.0,2.0,,0.5,0.21052631578947367,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,0.5,,,0.5,1.0,1.0,1.0,,,,0.3333333333333333,1.0,,1.0,3.0,0.3333333333333333,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
1626172-1627741-1627780-1641764-203110,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Brandin Podziemski, Draymond Green","Looney, Hield, Payton II, Podziemski, Green",1626172-1627741-1627780-1641764-203110,GSW,167.0,1,3.0,1.0,5.0,5.0,,5.0,1.0,10.0,1.0,1.0,,,,,1.0,3.0,,,2.0,,,2.0,4.0,1.0,3.0,,7.0,6.0,,,,,,,,,,,4.0,,3.0,,,2.0,,2.0,1.0,3.0,,1.0,7.0,1.0,1.0,,1.0,,1.0,2.0,3.0,,1.0,,,,,,2.0,2.0,1.0,,,,,,7.0,,,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.5,,,0.5,,,0.5,,,0.42857142857142855,,0.5,0.5,,0.5,0.3333333333333333,0.5,,0.5,,1.0,,,,,86.22754491017965,17.2,16.2,14.0,15.6,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.5,,0.2857142857142857,,,,,,,,,,0.5714285714285714,,0.5588071428571428,0.5382,,,,,,7.65,25.933333333333334,,1.0,0.25,0.3333333333333333,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,0.5,0.14285714285714285,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,False
